=== Sniffer Log - 2026-06-02 15:36:56 ===
Interface: wlp108s0 | Filtre: tcp port 21 or tcp port 80

`[1780946390.767348] TCP | 192.168.1.80:57472 -> 65.108.88.179:9201
[1780946390.774277] ICMP | 192.168.1.254:- -> 192.168.1.80:-
[1780946395.1475837] UDP | 192.168.1.80:48447 -> 192.168.1.254:53
[1780946395.1476302] UDP | 192.168.1.80:48447 -> 192.168.1.254:53
[1780946395.1550727] UDP | 192.168.1.254:53 -> 192.168.1.80:48447
[1780946395.1550732] UDP | 192.168.1.254:53 -> 192.168.1.80:48447
[1780946395.157108] UDP | 192.168.1.80:48447 -> 192.168.1.254:53
[1780946395.157159] UDP | 192.168.1.80:48447 -> 192.168.1.254:53
[1780946395.1617503] UDP | 192.168.1.254:53 -> 192.168.1.80:48447
[1780946395.1618352] UDP | 192.168.1.254:53 -> 192.168.1.80:48447
[1780946395.1621735] UDP | 192.168.1.80:44873 -> 192.168.1.254:53
[1780946395.1621907] UDP | 192.168.1.80:44873 -> 192.168.1.254:53
[1780946395.1649032] UDP | 192.168.1.254:53 -> 192.168.1.80:44873
[1780946395.1649036] UDP | 192.168.1.254:53 -> 192.168.1.80:44873
[1780946395.1651363] UDP | 192.168.1.80:44873 -> 192.168.1.254:53
[1780946395.165156] UDP | 192.168.1.80:44873 -> 192.168.1.254:53
[1780946395.1681712] UDP | 192.168.1.254:53 -> 192.168.1.80:44873
[1780946395.1681716] UDP | 192.168.1.254:53 -> 192.168.1.80:44873
[1780946395.1685355] UDP | 192.168.1.80:33870 -> 192.168.1.254:53
[1780946395.1689904] UDP | 192.168.1.80:33870 -> 192.168.1.254:53
[1780946395.1714127] UDP | 192.168.1.254:53 -> 192.168.1.80:33870
[1780946395.171413] UDP | 192.168.1.254:53 -> 192.168.1.80:33870
[1780946395.1715584] UDP | 192.168.1.80:33870 -> 192.168.1.254:53
[1780946395.1715875] UDP | 192.168.1.80:33870 -> 192.168.1.254:53
[1780946395.1746697] UDP | 192.168.1.254:53 -> 192.168.1.80:33870
[1780946395.17467] UDP | 192.168.1.254:53 -> 192.168.1.80:33870
[1780946395.1752589] UDP | 192.168.1.80:34330 -> 192.168.1.254:53
[1780946395.1765535] UDP | 192.168.1.80:34330 -> 192.168.1.254:53
[1780946395.1812081] UDP | 192.168.1.254:53 -> 192.168.1.80:34330
[1780946395.1812084] UDP | 192.168.1.254:53 -> 192.168.1.80:34330
[1780946395.1813538] UDP | 192.168.1.80:34330 -> 192.168.1.254:53
[1780946395.1813672] UDP | 192.168.1.80:34330 -> 192.168.1.254:53
[1780946395.1909788] UDP | 192.168.1.254:53 -> 192.168.1.80:34330
[1780946395.1909792] UDP | 192.168.1.254:53 -> 192.168.1.80:34330
[1780946395.1914086] UDP | 192.168.1.80:60675 -> 192.168.1.254:53
[1780946395.191603] UDP | 192.168.1.80:60675 -> 192.168.1.254:53
[1780946395.1942449] UDP | 192.168.1.254:53 -> 192.168.1.80:60675
[1780946395.1942456] UDP | 192.168.1.254:53 -> 192.168.1.80:60675
[1780946395.194383] UDP | 192.168.1.80:60675 -> 192.168.1.254:53
[1780946395.194418] UDP | 192.168.1.80:60675 -> 192.168.1.254:53
[1780946395.1975243] UDP | 192.168.1.254:53 -> 192.168.1.80:60675
[1780946395.1975248] UDP | 192.168.1.254:53 -> 192.168.1.80:60675
[1780946395.1981158] UDP | 192.168.1.80:48179 -> 192.168.1.254:53
[1780946395.1981838] UDP | 192.168.1.80:48179 -> 192.168.1.254:53
[1780946395.2007349] UDP | 192.168.1.254:53 -> 192.168.1.80:48179
[1780946395.200735] UDP | 192.168.1.254:53 -> 192.168.1.80:48179
[1780946395.2008607] UDP | 192.168.1.80:48179 -> 192.168.1.254:53
[1780946395.2008815] UDP | 192.168.1.80:48179 -> 192.168.1.254:53
[1780946395.2040586] UDP | 192.168.1.254:53 -> 192.168.1.80:48179
[1780946395.2040591] UDP | 192.168.1.254:53 -> 192.168.1.80:48179
[1780946395.2045074] UDP | 192.168.1.80:50945 -> 192.168.1.254:53
[1780946395.2046754] UDP | 192.168.1.80:50945 -> 192.168.1.254:53
[1780946395.2072976] UDP | 192.168.1.254:53 -> 192.168.1.80:50945
[1780946395.207298] UDP | 192.168.1.254:53 -> 192.168.1.80:50945
[1780946395.2074196] UDP | 192.168.1.80:50945 -> 192.168.1.254:53
[1780946395.2074406] UDP | 192.168.1.80:50945 -> 192.168.1.254:53
[1780946395.210568] UDP | 192.168.1.254:53 -> 192.168.1.80:50945
[1780946395.340598] UDP | 192.168.1.254:53 -> 192.168.1.80:50945
[1780946395.3420577] UDP | 192.168.1.80:39236 -> 192.168.1.254:53
[1780946395.3423364] UDP | 192.168.1.80:39236 -> 192.168.1.254:53
[1780946395.3457901] UDP | 192.168.1.254:53 -> 192.168.1.80:39236
[1780946395.3457909] UDP | 192.168.1.254:53 -> 192.168.1.80:39236
[1780946395.3475292] UDP | 192.168.1.80:39236 -> 192.168.1.254:53
[1780946395.3475592] UDP | 192.168.1.80:39236 -> 192.168.1.254:53
[1780946395.3583043] UDP | 192.168.1.254:53 -> 192.168.1.80:39236
[1780946395.4416413] UDP | 192.168.1.254:53 -> 192.168.1.80:39236
[1780946395.4431925] UDP | 192.168.1.80:60690 -> 192.168.1.254:53
[1780946395.4432406] UDP | 192.168.1.80:60690 -> 192.168.1.254:53
[1780946395.4475367] UDP | 192.168.1.254:53 -> 192.168.1.80:60690
[1780946395.4475374] UDP | 192.168.1.254:53 -> 192.168.1.80:60690
[1780946395.4490607] UDP | 192.168.1.80:60690 -> 192.168.1.254:53
[1780946395.4490921] UDP | 192.168.1.80:60690 -> 192.168.1.254:53
[1780946395.4507818] UDP | 192.168.1.254:53 -> 192.168.1.80:60690
[1780946395.454045] UDP | 192.168.1.254:53 -> 192.168.1.80:60690
[1780946395.4548812] UDP | 192.168.1.80:50252 -> 192.168.1.254:53
[1780946395.455358] UDP | 192.168.1.80:50252 -> 192.168.1.254:53
[1780946395.4573503] UDP | 192.168.1.254:53 -> 192.168.1.80:50252
[1780946395.457351] UDP | 192.168.1.254:53 -> 192.168.1.80:50252
[1780946395.4575913] UDP | 192.168.1.80:50252 -> 192.168.1.254:53
[1780946395.45766] UDP | 192.168.1.80:50252 -> 192.168.1.254:53
[1780946395.4606237] UDP | 192.168.1.254:53 -> 192.168.1.80:50252
[1780946395.4606245] UDP | 192.168.1.254:53 -> 192.168.1.80:50252
[1780946401.0397043] ICMP | 192.168.1.80:- -> 8.8.8.8:-
[1780946401.043278] ICMP | 192.168.1.254:- -> 192.168.1.80:-
[1780946402.040192] ICMP | 192.168.1.80:- -> 8.8.8.8:-
[1780946402.047008] ICMP | 192.168.1.254:- -> 192.168.1.80:-
[1780946403.0413127] ICMP | 192.168.1.80:- -> 8.8.8.8:-
[1780946403.0450037] ICMP | 192.168.1.254:- -> 192.168.1.80:-
[1780946404.0416472] ICMP | 192.168.1.80:- -> 8.8.8.8:-
[1780946404.0452824] ICMP | 192.168.1.254:- -> 192.168.1.80:-
[1780946405.0428214] ICMP | 192.168.1.80:- -> 8.8.8.8:-
